loja_nome,segmento,shopping,valor,cupons
JBay,Moda,Continente Shopping,10746.86,29
JCanedo,Moda,Continente Shopping,16090.5,29
JCanedo,Moda,Garten Shopping,14267.48,21
JCanedo,Moda,Neumarkt Shopping,45513.590000000004,74
JCanedo,Moda,Norte Shopping,14225.35,21
JOHN JOHN,Moda,Balneário Shopping,4856.54,5
Jack Simonéia Garten,Salão de Beleza | Barbearia,Garten Shopping,50.0,1
Jah Açaí,Gastronomia,Balneário Shopping,403.2,12
Jah Açaí,Gastronomia,Neumarkt Shopping,326.83,11
Jah Açaí,Gastronomia,Norte Shopping,904.62,27
Jah Açaí Joinville,Gastronomia - Sorvetes,Garten Shopping,365.45,10
Jah do Açaí,Gastronomia,Continente Shopping,792.61,34
Jcanedo,Moda,Balneário Shopping,16776.85,32
Jcanedo,Moda,Nações Shopping,4491.53,7
Jeronimo,Gastronomia,Balneário Shopping,701.38,10
Joalheria Baier,Joalheria,Neumarkt Shopping,21431.79,12
Jogê,Moda,Balneário Shopping,7830.61,22
John John,Moda,Continente Shopping,16457.42,35
John John Denim,Moda,Balneário Shopping,17889.0,23
Joker Socks,Presentes e Acessórios,Continente Shopping,284.48,3
Jorge Bischoff,Calçados,Balneário Shopping,48559.9,52
Jorge Bischoff,Moda,Continente Shopping,20297.8,23
Juistreet,Gastronomia,Balneário Shopping,63.8,2
KFC,Gastronomia,Balneário Shopping,9187.4,153
KFC,Gastronomia,Garten Shopping,8497.53,164
KStore Acessórios,Presentes e Acessórios,Nações Shopping,49.0,1
Kalunga,Papelaria,Balneário Shopping,80136.88,433
Kalunga,Papelaria,Continente Shopping,87525.6,652
Kalunga,Papelaria,Garten Shopping,73789.03,567
Kalunga,Papelaria,Neumarkt Shopping,98208.76,681
Kalunga,Papelaria,Norte Shopping,68161.33,312
Kfc,Gastronomia,Norte Shopping,8787.8,155
Kib´s,Kids,Garten Shopping,12027.35,199
Kings,Moda,Nações Shopping,14501.3,17
Kings  Sneakers,Calçados,Continente Shopping,3994.5299999999997,7
Kings Sneakers,Calçados,Neumarkt Shopping,9590.199999999999,12
Kings Sneakers,Moda,Garten Shopping,10640.41,19
Kings Sneakers,Moda,Norte Shopping,5673.44,9
Kipling,Presentes e Acessórios,Balneário Shopping,74338.7,70
Kitsu Box,Gastronomia,Nações Shopping,131.8,1
Kolméia Kids,Lazer,Continente Shopping,70.0,2
Kopenhagen,Gastronomia,Balneário Shopping,15606.77,120
Kopenhagen,Gastronomia,Continente Shopping,8757.77,154
Kopenhagen,Gastronomia,Garten Shopping,5851.54,80
Kopenhagen,Gastronomia,Nações Shopping,76.5,1
Kopenhagen,Gastronomia,Neumarkt Shopping,11737.7,221
Korte e Kosture,Serviços,Balneário Shopping,625.5,5
Kulkes,Joalheria,Balneário Shopping,30000.0,1
L'Occitane Au Brésil,Beleza e Bem-estar,Neumarkt Shopping,9427.61,58
L'Occitane En Provence,Beleza e Bem-estar,Balneário Shopping,19961.25,56
L'Occitane en Provence,Beleza e Bem-estar,Neumarkt Shopping,19315.4,49
L'Oréal Kerastase,Beleza e Bem-estar,Balneário Shopping,7402.0,12
L'occitane Au Brasil,Beleza e Bem-estar,Garten Shopping,5117.01,31
L'occitane Bresil,Beleza e Bem-estar,Balneário Shopping,7276.45,40
L'occitane au Brésil,Beleza e Bem-estar,Continente Shopping,8555.95,47
LAtte Art Coffee Cafeteria,Gastronomia,Neumarkt Shopping,336.0,16
LIVE!,Moda,Neumarkt Shopping,34442.89,53
LOJAS AMERICANAS,Eletrodomésticos,Neumarkt Shopping,33983.12,618
La Dullie,Gastronomia,Norte Shopping,832.0,20
La Mandinne,Moda,Garten Shopping,27556.41,58
La Mandinne,Moda Feminina,Balneário Shopping,28537.4,56
Laci Baruffi,Presentes e Acessórios,Neumarkt Shopping,18025.75,33
Lacoste,Moda,Balneário Shopping,51803.0,32
Lanzara,Joalheria,Continente Shopping,15598.0,7
Lança Perfume,Moda,Continente Shopping,11174.85,16
Las Leñas,Gastronomia,Balneário Shopping,8752.2,18
Las Leñas Parrilla Uruguaya,Gastronomia,Nações Shopping,7241.62,22
Laser Company Brasil,Beleza e Bem-estar,Garten Shopping,1712.53,7
Lavi Sunglasses,Ótica,Balneário Shopping,1010.0,4
Le Creuset,Casa e Decoração,Balneário Shopping,34063.17,52
Le Lis,Moda,Neumarkt Shopping,86110.34,70
Le Lis Blanc,Moda,Balneário Shopping,74309.03,67
Le Lis Blanc,Moda,Garten Shopping,64590.57,60
Leo Cosméticos,Beleza e Bem-estar,Norte Shopping,12686.53,175
Levi's,Moda,Balneário Shopping,28789.29,61
Levi's,Moda,Garten Shopping,55696.06,125
Lez a Lez,Moda,Continente Shopping,13507.09,19
Life Vivara,Joalheria,Balneário Shopping,58555.4,97
Life Vivara,Joalheria,Continente Shopping,33210.26,55
Life Vivara,Joalheria,Garten Shopping,41042.72,66
Life by Vivara,Joalheria,Neumarkt Shopping,44731.12,81
Lindt,Gastronomia,Balneário Shopping,35672.96,241
Lindt,Gastronomia,Garten Shopping,14393.65,114
Lindt,Gastronomia,Neumarkt Shopping,26828.07,248
Liquori Caffè Gourmet,Gastronomia,Balneário Shopping,1056.0,28
Live!,Moda,Balneário Shopping,85246.6,152
Live!,Moda,Garten Shopping,19143.02,38
Live!,Moda,Nações Shopping,10384.98,18
Live!,Moda Feminina,Continente Shopping,41050.45,71
Livo,Ótica,Balneário Shopping,2050.7,3
Livraria Catarinense,Livrarias,Nações Shopping,25666.96,226
Livrarias Catarinense,Livrarias,Balneário Shopping,89193.64,687
Livrarias Catarinense,Livrarias,Continente Shopping,68192.96,624
Livrarias Catarinense,Livrarias,Neumarkt Shopping,107234.06,831
Livrarias Catarinense,Livrarias,Norte Shopping,18563.21,146
Livrarias Curitiba,Livrarias,Garten Shopping,43186.74,471
Loft,Eletrônicos,Balneário Shopping,1028.4,6
Lofty style,Moda Feminina,Balneário Shopping,25934.989999999998,41
Lojas Americanas,Eletrodomésticos,Continente Shopping,37262.77,722
Lojas Americanas,Eletrodomésticos,Norte Shopping,19312.59,302
Lojas Americanas,Supermercado,Balneário Shopping,36178.04,370
Loungerie,Moda,Balneário Shopping,27014.5,63
Lua Luá,Moda,Balneário Shopping,47174.26,82
Lua Luá,Moda,Continente Shopping,30309.76,59
Lug's,Gastronomia,Nações Shopping,4097.63,91
Luiza Barcelos,Calçados,Garten Shopping,6965.98,11
Lupo,Moda,Balneário Shopping,38937.0,170
Lupo,Moda,Continente Shopping,9075.32,75
Lupo,Moda,Garten Shopping,10845.64,81
Lupo,Moda,Nações Shopping,10658.67,68
Lupo,Moda,Neumarkt Shopping,26358.6,149
Lupo,Moda,Norte Shopping,4198.95,37
Luz da Lua,Calçados,Balneário Shopping,42597.51,61
Luz da Lua,Calçados Femininos,Nações Shopping,40469.33,65
Luz da Lua,Moda,Continente Shopping,27691.14,40
Lyllu Acessórios,Joalheria,Continente Shopping,1959.3999999999999,9
MB Acessórios,Presentes e Acessórios,Neumarkt Shopping,8197.800000000001,94
MB acessórios,Presentes e Acessórios,Balneário Shopping,6057.55,29
Mac,Beleza e Bem-estar,Balneário Shopping,22620.7,52
Madero,Gastronomia,Balneário Shopping,46641.07,272
Madero,Gastronomia,Continente Shopping,47669.659999999996,250
Madero,Gastronomia,Garten Shopping,24945.6,147
Madero,Gastronomia,Neumarkt Shopping,67546.94,383
Mafiawood,Presentes e Acessórios,Norte Shopping,724.0,2
Magazine Luiza,Eletrodomésticos,Balneário Shopping,48796.96,29
