loja_nome,segmento,shopping,valor,cupons
Jah Açaí,Gastronomia,Balneário Shopping,3077.44,65
Jah Açaí,Gastronomia,Neumarkt Shopping,76.85,7
Jah Açaí,Gastronomia,Norte Shopping,588.03,25
Jah Açaí Joinville,Gastronomia - Sorvetes,Garten Shopping,1831.3,64
Jah do Açaí,Gastronomia,Continente Shopping,7900.89,79
Jcanedo,Moda,Balneário Shopping,30474.72,43
Jcel Eletrônicos,Telefonia,Norte Shopping,39.0,1
John John,Moda,Continente Shopping,51682.88,117
John John Denim,Moda,Balneário Shopping,64020.91,76
Joker Socks,Presentes e Acessórios,Continente Shopping,1581.12,11
Jorge Bischoff,Calçados,Balneário Shopping,62180.9,63
Juistreet,Gastronomia,Balneário Shopping,1158.57,36
KFC,Fast Food,Norte Shopping,9782.15,164
KFC,Gastronomia,Balneário Shopping,25010.91,393
KFC,Gastronomia,Garten Shopping,13638.79,230
Kalunga,Papelaria,Continente Shopping,137689.25,941
Kalunga,Papelaria,Garten Shopping,150354.74,923
Kalunga,Papelaria,Neumarkt Shopping,183616.13,1169
Kalunga,Papelaria,Norte Shopping,1745.31,11
Kfc,Fast Food,Continente Shopping,10127.7,154
Kfc,Gastronomia,Neumarkt Shopping,22541.99,412
Kib´s,Kids,Garten Shopping,21790.03,308
Kings,Moda,Nações Shopping,5710.83,9
Kings  Sneakers,Calçados,Continente Shopping,18355.55,27
Kings Sneakers,Calçados,Balneário Shopping,3879.43,7
Kings Sneakers,Calçados,Neumarkt Shopping,27989.33,47
Kings Sneakers,Moda,Garten Shopping,26130.71,38
Kings Sneakers,Moda,Norte Shopping,7697.35,16
Kipling,Presentes e Acessórios,Balneário Shopping,165480.76,152
Kitsu Box,Gastronomia,Nações Shopping,1171.07,9
Kombina Felice,Gastronomia - Restaurante,Neumarkt Shopping,27997.82,121
Kopenhagen,Gastronomia,Balneário Shopping,19844.96,258
Kopenhagen,Gastronomia,Continente Shopping,18580.71,232
Kopenhagen,Gastronomia,Neumarkt Shopping,33062.58,441
Kopenhagen,Não informado,Nações Shopping,2381.83,40
Kulkes,Joalheria,Balneário Shopping,494583.0,11
L'Occitane Au Brésil,Beleza e Bem-estar,Neumarkt Shopping,15943.1,103
L'Occitane En Provence,Beleza e Bem-estar,Balneário Shopping,44829.42,103
L'Occitane en Provence,Beleza e Bem-estar,Neumarkt Shopping,32120.83,67
L'occitane Au Brasil,Beleza e Bem-estar,Garten Shopping,12880.83,72
L'occitane Bresil,Beleza e Bem-estar,Balneário Shopping,19171.920000000002,109
L'occitane au Brésil,Beleza e Bem-estar,Continente Shopping,28247.24,142
LAtte Art Coffee Cafeteria,Gastronomia,Neumarkt Shopping,426.0,19
LE LIS BLANC DEUX,Moda,Balneário Shopping,89057.74,79
LIVE!,Moda,Neumarkt Shopping,69246.03,118
LUZ DA LUA,Calçados,Garten Shopping,41706.93,65
La Dullie,Gastronomia,Norte Shopping,1385.6,37
Laci Baruffi,Presentes e Acessórios,Neumarkt Shopping,19459.39,41
Lacoste,Moda,Balneário Shopping,74561.0,59
Lanzara,Joalheria,Continente Shopping,61330.2,15
Lança Perfume,Moda,Nações Shopping,9989.8,12
Las Leñas,Gastronomia,Balneário Shopping,11545.0,33
Las Leñas Parrilla Uruguaya,Gastronomia,Nações Shopping,41695.99,165
Lavi Sunglasses,Ótica,Balneário Shopping,8286.6,26
Le Charbon Crepes e Café,Gastronomia,Nações Shopping,93.0,2
Le Creuset,Casa e Decoração,Balneário Shopping,147647.43,100
Le Lis,Moda,Neumarkt Shopping,228413.38999999998,137
Le Lis Blanc,Moda,Garten Shopping,134796.1,76
Le Lis Blanc,Moda Feminina,Balneário Shopping,95034.2,59
Le Postiche,Presentes e Acessórios,Continente Shopping,19933.32,55
Lego,Infantil,Balneário Shopping,5399.780000000001,16
Leo Cosméticos,Beleza e Bem-estar,Continente Shopping,455.38,3
Leo Cosméticos,Beleza e Bem-estar,Garten Shopping,46979.5,597
